# CSR-1 22G-RNA targets,,,,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,,,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell,,,
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5,,,
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1,,,
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1,,,
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1,,,
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1,,,
# Maternal and zygotic,> 1TPM,log2FC > 0.5,,,,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5,,,
# all in 1-Cell,> 1TPM,,,,,
CSR-1 Targets Adults > 150 RPM (333),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00006699,,,,WBGene00006699,WBGene00006699,History: N.A.
WBGene00006727,,,,WBGene00006727,WBGene00006727,History: N.A.
WBGene00006734,,,,WBGene00006734,WBGene00006734,History: N.A.
WBGene00006737,,,,WBGene00006737,WBGene00006737,History: N.A.
WBGene00006817,,,,WBGene00006817,WBGene00006817,History: Renamed on 2008-06-05
WBGene00006840,,,,WBGene00006840,WBGene00006840,History: N.A.
WBGene00006888,,,,WBGene00006888,WBGene00006888,History: N.A.
WBGene00006943,,,,WBGene00006943,WBGene00006943,History: N.A.
WBGene00006964,,,,WBGene00006964,WBGene00006964,History: N.A.
WBGene00006974,,,,WBGene00006974,WBGene00006974,History: N.A.
WBGene00006994,,,,WBGene00006994,WBGene00006994,History: N.A.
WBGene00007009,,,,WBGene00007009,WBGene00007009,History: N.A.
WBGene00007028,,,,WBGene00007028,WBGene00007028,History: N.A.
WBGene00007030,,,,WBGene00007030,WBGene00007030,History: N.A.
WBGene00007042,,,,WBGene00007042,WBGene00007042,History: Renamed on 2007-08-01
WBGene00007048,,,,WBGene00007048,WBGene00007048,History: Renamed on 2011-09-23
WBGene00007092,,,,WBGene00007092,WBGene00007092,History: N.A.
WBGene00007258,,,,WBGene00007258,WBGene00007258,History: N.A.
WBGene00007352,,,,WBGene00007352,WBGene00007352,History: Renamed on 2005-03-17
WBGene00007433,,,,WBGene00007433,WBGene00007433,History: N.A.
WBGene00007505,,,,WBGene00007505,WBGene00007505,History: N.A.
WBGene00007615,,,,WBGene00007615,WBGene00007615,History: Renamed on 2007-05-03
WBGene00007617,,,,WBGene00007617,WBGene00007617,History: N.A.
WBGene00007624,,,,WBGene00007624,WBGene00007624,History: Renamed on 2012-08-29
WBGene00007788,,,,WBGene00007788,WBGene00007788,History: N.A.
WBGene00007789,,,,WBGene00007789,WBGene00007789,History: N.A.
WBGene00008005,,,,WBGene00008005,WBGene00008005,History: Renamed on 2021-12-09
WBGene00008035,,,,WBGene00008035,WBGene00008035,History: N.A.
WBGene00008107,,,,WBGene00008107,WBGene00008107,History: Renamed on 2006-09-21
WBGene00008145,,,,WBGene00008145,WBGene00008145,History: N.A.
WBGene00008166,,,,WBGene00008166,WBGene00008166,History: N.A.
WBGene00008399,,,,WBGene00008399,WBGene00008399,"History: Split into D2005.7(WBGene00086551). History of WBGene00008399: Split into ""WBGene00086551"" on 2008-06-27"
WBGene00008400,,,,WBGene00008400,WBGene00008400,History: Renamed on 2005-11-22
WBGene00008503,,,,WBGene00008503,WBGene00008503,History: N.A.
WBGene00008710,,,,WBGene00008710,WBGene00008710,History: N.A.
WBGene00008740,,,,WBGene00008740,WBGene00008740,History: N.A.
WBGene00008781,,,,WBGene00008781,WBGene00008781,History: N.A.
WBGene00008848,,,,WBGene00008848,WBGene00008848,History: N.A.
WBGene00008921,,,,WBGene00008921,WBGene00008921,History: N.A.
WBGene00009035,,,,WBGene00009035,WBGene00009035,History: N.A.
WBGene00009113,,,,WBGene00009113,WBGene00009113,History: N.A.
WBGene00009180,,,,WBGene00009180,WBGene00009180,History: N.A.
WBGene00009284,,,,WBGene00009284,WBGene00009284,History: N.A.
WBGene00009368,,,,WBGene00009368,WBGene00009368,History: N.A.
WBGene00009374,,,,WBGene00009374,WBGene00009374,History: N.A.
WBGene00009460,,,,WBGene00009460,WBGene00009460,History: Renamed on 2016-11-04
WBGene00009507,,,,WBGene00009507,WBGene00009507,History: Renamed on 2015-03-25; Renamed on 2015-03-25
WBGene00009542,,,,WBGene00009542,WBGene00009542,History: N.A.
WBGene00009587,,,,WBGene00009587,WBGene00009587,History: N.A.
WBGene00009922,,,,WBGene00009922,WBGene00009922,History: N.A.
WBGene00010037,,,,WBGene00010037,WBGene00010037,History: N.A.
WBGene00010056,,,,WBGene00010056,WBGene00010056,History: N.A.
WBGene00010061,,,,WBGene00010061,WBGene00010061,History: N.A.
WBGene00010232,,,,WBGene00010232,WBGene00010232,History: N.A.
WBGene00010260,,,,WBGene00010260,WBGene00010260,History: N.A.
WBGene00010263,,,,WBGene00010263,WBGene00010263,History: N.A.
WBGene00010279,,,,WBGene00010279,WBGene00010279,History: N.A.
WBGene00010280,,,,WBGene00010280,WBGene00010280,History: N.A.
WBGene00010281,,,,WBGene00010281,WBGene00010281,History: Renamed on 2021-12-09
WBGene00010351,,,,WBGene00010351,WBGene00010351,History: N.A.
WBGene00010582,,,,WBGene00010582,WBGene00010582,History: N.A.
WBGene00010583,,,,WBGene00010583,WBGene00010583,History: N.A.
WBGene00010621,,,,WBGene00010621,WBGene00010621,History: N.A.
