# Table S2: A full list of the 310 epigenetic and small RNA factors that were examined in this study and their regulation in HSF-1High and HSF-1Low worms.
...1,UP_in_HSF-1High,DOWN_in_HSF-1High,UP_in_HSF-1Low,DOWN_in_HSF-1Low,Input,Suggested Match,History
WBGene00004795,No,Yes,Yes,No,WBGene00004795,WBGene00004795,History: Renamed on 2013-10-16
WBGene00004796,Yes,No,No,No,WBGene00004796,WBGene00004796,History: N.A.
WBGene00004800,No,Yes,No,Yes,WBGene00004800,WBGene00004800,History: N.A.
WBGene00004801,No,No,No,No,WBGene00004801,WBGene00004801,History: N.A.
WBGene00004802,No,No,No,No,WBGene00004802,WBGene00004802,History: N.A.
WBGene00004803,No,No,No,No,WBGene00004803,WBGene00004803,History: N.A.
WBGene00004807,No,Yes,No,No,WBGene00004807,WBGene00004807,History: N.A.
WBGene00004883,No,No,No,Yes,WBGene00004883,WBGene00004883,History: N.A.
WBGene00004920,No,No,No,Yes,WBGene00004920,WBGene00004920,History: N.A.
WBGene00004945,No,Yes,Yes,No,WBGene00004945,WBGene00004945,History: N.A.
WBGene00004955,No,Yes,Yes,No,WBGene00004955,WBGene00004955,History: N.A.
WBGene00005010,No,No,Yes,No,WBGene00005010,WBGene00005010,History: N.A.
WBGene00006449,Yes,No,No,No,WBGene00006449,WBGene00006449,History: Renamed on 2013-12-23
WBGene00006474,No,Yes,Yes,No,WBGene00006474,WBGene00006474,History: Renamed on 2010-07-27; Renamed on 2010-12-02
WBGene00006523,No,No,No,No,WBGene00006523,WBGene00006523,History: N.A.
WBGene00006626,No,Yes,No,No,WBGene00006626,WBGene00006626,History: N.A.
WBGene00006853,No,No,No,No,WBGene00006853,WBGene00006853,History: N.A.
WBGene00006912,Yes,No,No,Yes,WBGene00006912,WBGene00006912,History: N.A.
WBGene00006920,No,No,No,Yes,WBGene00006920,WBGene00006920,History: N.A.
WBGene00006924,No,Yes,No,No,WBGene00006924,WBGene00006924,History: N.A.
WBGene00006962,No,No,No,No,WBGene00006962,WBGene00006962,History: N.A.
WBGene00006964,No,Yes,No,No,WBGene00006964,WBGene00006964,History: N.A.
WBGene00006975,No,Yes,Yes,No,WBGene00006975,WBGene00006975,History: N.A.
WBGene00007027,No,No,Yes,No,WBGene00007027,WBGene00007027,History: N.A.
WBGene00007078,No,No,No,No,WBGene00007078,WBGene00007078,History: N.A.
WBGene00007297,No,Yes,Yes,No,WBGene00007297,WBGene00007297,History: N.A.
WBGene00007403,No,Yes,Yes,No,WBGene00007403,WBGene00007403,History: N.A.
WBGene00007413,No,No,No,No,WBGene00007413,WBGene00007413,History: N.A.
WBGene00007534,No,Yes,No,No,WBGene00007534,WBGene00007534,History: Renamed on 2017-12-07
WBGene00007577,No,Yes,No,No,WBGene00007577,WBGene00007577,History: N.A.
WBGene00007578,No,Yes,Yes,No,WBGene00007578,WBGene00007578,History: N.A.
