# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
genes encoding for tRNAs,Unnamed: 1,Input,Suggested Match,History
WBGene00014524,,WBGene00014524,WBGene00014524,History: N.A.
WBGene00014478,,WBGene00014478,WBGene00014478,History: N.A.
WBGene00023166,,WBGene00023166,WBGene00023166,History: N.A.
WBGene00023130,,WBGene00023130,WBGene00023130,History: N.A.
WBGene00023202,,WBGene00023202,WBGene00023202,History: N.A.
WBGene00014487,,WBGene00014487,WBGene00014487,History: N.A.
WBGene00014620,,WBGene00014620,WBGene00014620,History: N.A.
WBGene00023211,,WBGene00023211,WBGene00023211,History: N.A.
WBGene00014603,,WBGene00014603,WBGene00014603,History: N.A.
WBGene00014502,,WBGene00014502,WBGene00014502,History: N.A.
WBGene00014627,,WBGene00014627,WBGene00014627,History: N.A.
WBGene00014525,,WBGene00014525,WBGene00014525,History: N.A.
WBGene00014573,,WBGene00014573,WBGene00014573,History: N.A.
WBGene00023221,,WBGene00023221,WBGene00023221,History: N.A.
WBGene00014572,,WBGene00014572,WBGene00014572,History: N.A.
WBGene00014546,,WBGene00014546,WBGene00014546,History: N.A.
WBGene00014499,,WBGene00014499,WBGene00014499,History: N.A.
WBGene00014561,,WBGene00014561,WBGene00014561,History: N.A.
WBGene00014592,,WBGene00014592,WBGene00014592,History: N.A.
WBGene00023174,,WBGene00023174,WBGene00023174,History: N.A.
WBGene00014531,,WBGene00014531,WBGene00014531,History: N.A.
WBGene00014508,,WBGene00014508,WBGene00014508,History: N.A.
WBGene00014482,,WBGene00014482,WBGene00014482,History: N.A.
WBGene00023156,,WBGene00023156,WBGene00023156,History: N.A.
WBGene00014519,,WBGene00014519,WBGene00014519,History: N.A.
WBGene00014529,,WBGene00014529,WBGene00014529,History: N.A.
WBGene00014583,,WBGene00014583,WBGene00014583,History: N.A.
WBGene00014617,,WBGene00014617,WBGene00014617,History: N.A.
WBGene00014539,,WBGene00014539,WBGene00014539,History: N.A.
WBGene00023148,,WBGene00023148,WBGene00023148,History: N.A.
WBGene00023152,,WBGene00023152,WBGene00023152,History: N.A.
WBGene00023210,,WBGene00023210,WBGene00023210,History: N.A.
WBGene00014560,,WBGene00014560,WBGene00014560,History: N.A.
WBGene00023171,,WBGene00023171,WBGene00023171,History: N.A.
WBGene00023140,,WBGene00023140,WBGene00023140,History: N.A.
WBGene00014605,,WBGene00014605,WBGene00014605,History: N.A.
WBGene00014570,,WBGene00014570,WBGene00014570,History: N.A.
WBGene00014481,,WBGene00014481,WBGene00014481,History: N.A.
WBGene00014618,,WBGene00014618,WBGene00014618,History: N.A.
WBGene00014513,,WBGene00014513,WBGene00014513,History: N.A.
WBGene00014574,,WBGene00014574,WBGene00014574,History: N.A.
WBGene00014558,,WBGene00014558,WBGene00014558,History: N.A.
WBGene00235252,,WBGene00235252,WBGene00235252,History: N.A.
WBGene00014548,,WBGene00014548,WBGene00014548,History: N.A.
WBGene00014490,,WBGene00014490,WBGene00014490,History: N.A.
WBGene00014609,,WBGene00014609,WBGene00014609,History: N.A.
WBGene00023157,,WBGene00023157,WBGene00023157,History: N.A.
WBGene00014496,,WBGene00014496,WBGene00014496,History: N.A.
WBGene00014485,,WBGene00014485,WBGene00014485,History: N.A.
WBGene00014582,,WBGene00014582,WBGene00014582,History: N.A.
WBGene00023220,,WBGene00023220,WBGene00023220,History: N.A.
WBGene00014637,,WBGene00014637,WBGene00014637,History: N.A.
WBGene00023141,,WBGene00023141,WBGene00023141,History: N.A.
