# Table S2. Genes depleted for 22G-RNAs in parn-1,prg-1,and parn-1; prg-1 double mutant animals,Related to Figure 6
# # ""FALSE"" indicates  fold change ≤ 2,NA,NA,NA
# # ""TRUE"" indicates  fold change > 2,NA,NA,NA
# #  Genes with Reads Per Million greater than 10 in wild-type were listed,NA,NA,NA
WormBaseID,Gene_symbol_1,Gene_symbol_2,wild-type vs. parn-1,wild-type vs .prg-1,wild-type vs. prg-1; parn-1,wild-type,parn-1,prg-1,prg-1; parn-1,Input,Suggested Match,History
WBGene00000377,cct-1,T05C12.7,False,False,False,23.51237263,26.28907638,45.38480717,41.95754937,WBGene00000377,WBGene00000377,History: N.A.
WBGene00000378,cct-2,T21B10.7,False,False,False,28.86222415,28.62117187,39.78538291,30.93220793,WBGene00000378,WBGene00000378,History: N.A.
WBGene00000379,cct-4,K01C8.10,False,False,False,20.23053095,24.06298523,36.54361097,33.38228381,WBGene00000379,WBGene00000379,History: N.A.
WBGene00000380,cct-5,C07G2.3,False,False,False,13.75676104,12.82652517,18.87759115,16.38488242,WBGene00000380,WBGene00000380,History: N.A.
WBGene00000381,cct-6,F01F1.8,False,False,False,19.69105012,24.59300694,44.00950998,30.58882609,WBGene00000381,WBGene00000381,History: N.A.
WBGene00000382,cdc-6,C43E11.10,False,False,False,26.21876811,44.94584026,75.15016772,73.50227627,WBGene00000382,WBGene00000382,History: N.A.
WBGene00000383,cdc-14,C17G10.4,False,False,False,71.88581996,84.06144181,121.8611543,97.69677555,WBGene00000383,WBGene00000383,"History: Split into C17G10.13(WBGene00270322). History of WBGene00000383: Split into ""WBGene00270322"" on 2016-08-31"
WBGene00000386,cdc-25.1,K06A5.7,False,False,False,33.71755158,44.09780554,84.28607046,72.73662756,WBGene00000386,WBGene00000386,History: N.A.
WBGene00000390,cdc-42,R07G3.1,False,False,False,24.95098817,27.98514582,40.37479599,33.84167303,WBGene00000390,WBGene00000390,History: N.A.
WBGene00000393,cdf-1,C15B12.7,False,True,True,79.0339409,42.61374478,0.58941308,0.382824356,WBGene00000393,WBGene00000393,History: N.A.
WBGene00000405,cdk-1,T05G5.3,False,False,False,83.61952791,124.8024432,247.3570226,177.9622821,WBGene00000405,WBGene00000405,History: N.A.
WBGene00000407,cdk-5,T27E9.3,False,True,True,18.20747785,31.48328905,5.304717721,3.139159716,WBGene00000407,WBGene00000407,History: N.A.
WBGene00000408,cdk-7,Y39G10AL.3,False,False,False,20.77001177,22.04890277,29.54433064,33.68854329,WBGene00000408,WBGene00000408,History: N.A.
