# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Downregulated Genes in WT
Generation,Gene name,Input,Suggested Match,History
P0-F1,WBGene00023501,WBGene00023501,WBGene00023501,History: N.A.
P0-F1,WBGene00007178,WBGene00007178,WBGene00007178,History: N.A.
P0-F1,WBGene00011899,WBGene00011899,WBGene00011899,History: N.A.
P0-F1,WBGene00017838,WBGene00017838,WBGene00017838,History: N.A.
P0-F1,WBGene00003977,WBGene00003977,WBGene00003977,History: N.A.
P0-F1,WBGene00011028,WBGene00011028,WBGene00011028,History: N.A.
P0-F1,WBGene00011198,WBGene00011198,WBGene00011198,History: N.A.
P0-F1,WBGene00007116,WBGene00007116,WBGene00007116,History: N.A.
P0-F1,WBGene00008356,WBGene00008356,WBGene00008356,History: N.A.
P0-F1,WBGene00023159,WBGene00023159,WBGene00023159,History: N.A.
P0-F1,WBGene00019705,WBGene00019705,WBGene00019705,History: N.A.
P0-F1,WBGene00012763,WBGene00012763,WBGene00012763,History: N.A.
P0-F1,WBGene00016289,WBGene00016289,WBGene00016289,History: N.A.
P0-F1,WBGene00044779,WBGene00044779,WBGene00044779,History: N.A.
P0-F1,WBGene00020012,WBGene00020012,WBGene00020012,History: N.A.
P0-F1,WBGene00009509,WBGene00009509,WBGene00009509,History: N.A.
P0-F1,WBGene00011869,WBGene00011869,WBGene00011869,History: N.A.
P0-F1,WBGene00010084,WBGene00010084,WBGene00010084,History: N.A.
P0-F1,WBGene00009226,WBGene00009226,WBGene00009226,History: N.A.
P0-F1,WBGene00008582,WBGene00008582,WBGene00008582,History: N.A.
P0-F1,WBGene00011097,WBGene00011097,WBGene00011097,History: N.A.
P0-F1,WBGene00002242,WBGene00002242,WBGene00002242,History: N.A.
P0-F1,WBGene00004030,WBGene00004030,WBGene00004030,History: N.A.
P0-F1,WBGene00019782,WBGene00019782,WBGene00019782,History: N.A.
P0-F1,WBGene00017390,WBGene00017390,WBGene00017390,"History: Split into F12A10.9(WBGene00077704). History of WBGene00017390: Split into ""WBGene00077704"" on 2008-04-08"
P0-F1,WBGene00018634,WBGene00018634,WBGene00018634,History: N.A.
P0-F1,WBGene00016108,WBGene00016108,WBGene00016108,History: N.A.
P0-F1,WBGene00013736,WBGene00013736,WBGene00013736,History: N.A.
P0-F1,WBGene00019284,WBGene00019284,WBGene00019284,History: N.A.
P0-F1,WBGene00013699,WBGene00013699,WBGene00013699,History: N.A.
P0-F1,WBGene00001577,WBGene00001577,WBGene00001577,History: N.A.
P0-F1,WBGene00011944,WBGene00011944,WBGene00011944,History: N.A.
P0-F1,WBGene00013415,WBGene00013415,WBGene00013415,History: N.A.
P0-F1,WBGene00044797,WBGene00044797,WBGene00044797,History: N.A.
P0-F1,WBGene00019160,WBGene00019160,WBGene00019160,History: Renamed on 2016-10-26; Renamed on 2018-10-09
P0-F1,WBGene00003102,WBGene00003102,WBGene00003102,History: N.A.
P0-F1,WBGene00020229,WBGene00020229,WBGene00020229,History: N.A.
P0-F1,WBGene00002085,WBGene00002085,WBGene00002085,History: N.A.
P0-F1,WBGene00011372,WBGene00011372,WBGene00011372,History: N.A.
P0-F1,WBGene00009995,WBGene00009995,WBGene00009995,History: N.A.
P0-F1,WBGene00015285,WBGene00015285,WBGene00015285,History: N.A.
P0-F1,WBGene00008585,WBGene00008585,WBGene00008585,History: N.A.
P0-F1,WBGene00015523,WBGene00015523,WBGene00015523,History: N.A.
P0-F1,WBGene00004278,WBGene00004278,WBGene00004278,History: N.A.
P0-F1,WBGene00019166,WBGene00019166,WBGene00019166,History: N.A.
P0-F1,WBGene00001911,WBGene00001911,WBGene00001911,History: N.A.
P0-F1,WBGene00010251,WBGene00010251,WBGene00010251,"History: Split into marc-1(WBGene00077696), F58E6.13(WBGene00077697). History of WBGene00010251: Split into ""WBGene00077697"" on 2008-03-27"
P0-F1,WBGene00003528,WBGene00003528,WBGene00003528,History: N.A.
P0-F1,WBGene00015478,WBGene00015478,WBGene00015478,History: Renamed on 2018-05-24
P0-F1,WBGene00000288,WBGene00000288,WBGene00000288,History: N.A.
P0-F1,WBGene00009162,WBGene00009162,WBGene00009162,History: N.A.
P0-F1,WBGene00017813,WBGene00017813,WBGene00017813,History: N.A.
P0-F1,WBGene00015809,WBGene00015809,WBGene00015809,History: N.A.
P0-F1,WBGene00018952,WBGene00018952,WBGene00018952,History: N.A.
P0-F1,WBGene00016452,WBGene00016452,WBGene00016452,History: N.A.
P0-F1,WBGene00008358,WBGene00008358,WBGene00008358,History: N.A.
P0-F1,WBGene00016617,WBGene00016617,WBGene00016617,History: N.A.
P0-F1,WBGene00009723,WBGene00009723,WBGene00009723,History: N.A.
P0-F1,WBGene00004944,WBGene00004944,WBGene00004944,History: N.A.
P0-F1,WBGene00013761,WBGene00013761,WBGene00013761,History: N.A.
P0-F1,WBGene00004910,WBGene00004910,WBGene00004910,History: Renamed on 2010-09-28
P0-F1,WBGene00011817,WBGene00011817,WBGene00011817,History: N.A.
P0-F1,WBGene00020378,WBGene00020378,WBGene00020378,History: N.A.
P0-F1,WBGene00015376,WBGene00015376,WBGene00015376,History: N.A.
P0-F1,WBGene00020678,WBGene00020678,WBGene00020678,History: N.A.
P0-F1,WBGene00009831,WBGene00009831,WBGene00009831,History: N.A.
P0-F1,WBGene00219707,WBGene00219707,WBGene00219707,History: N.A.
P0-F1,WBGene00010838,WBGene00010838,WBGene00010838,History: N.A.
