# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Maternal and zygotic (1958),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00001086,,,,WBGene00001086,WBGene00001086,History: N.A.
WBGene00001089,,,,WBGene00001089,WBGene00001089,History: N.A.
WBGene00001101,,,,WBGene00001101,WBGene00001101,History: Renamed on 2016-08-02
WBGene00001104,,,,WBGene00001104,WBGene00001104,History: N.A.
WBGene00001115,,,,WBGene00001115,WBGene00001115,History: N.A.
WBGene00001131,,,,WBGene00001131,WBGene00001131,History: N.A.
WBGene00001145,,,,WBGene00001145,WBGene00001145,History: N.A.
WBGene00001148,,,,WBGene00001148,WBGene00001148,History: N.A.
WBGene00001152,,,,WBGene00001152,WBGene00001152,History: N.A.
WBGene00001155,,,,WBGene00001155,WBGene00001155,History: N.A.
WBGene00001161,,,,WBGene00001161,WBGene00001161,History: N.A.
WBGene00001165,,,,WBGene00001165,WBGene00001165,History: N.A.
WBGene00001169,,,,WBGene00001169,WBGene00001169,History: Renamed on 2010-08-03
WBGene00001179,,,,WBGene00001179,WBGene00001179,History: N.A.
WBGene00001186,,,,WBGene00001186,WBGene00001186,History: N.A.
WBGene00001194,,,,WBGene00001194,WBGene00001194,History: N.A.
WBGene00001196,,,,WBGene00001196,WBGene00001196,"History: Split into C53H9.4(WBGene00303070). History of WBGene00001196: Split into ""WBGene00303070"" on 2018-03-02"
WBGene00001225,,,,WBGene00001225,WBGene00001225,History: N.A.
WBGene00001236,,,,WBGene00001236,WBGene00001236,History: N.A.
WBGene00001244,,,,WBGene00001244,WBGene00001244,History: N.A.
WBGene00001249,,,,WBGene00001249,WBGene00001249,History: N.A.
WBGene00001253,,,,WBGene00001253,WBGene00001253,History: N.A.
WBGene00001259,,,,WBGene00001259,WBGene00001259,History: N.A.
WBGene00001284,,,,WBGene00001284,WBGene00001284,History: N.A.
WBGene00001325,,,,WBGene00001325,WBGene00001325,History: N.A.
WBGene00001330,,,,WBGene00001330,WBGene00001330,History: N.A.
WBGene00001331,,,,WBGene00001331,WBGene00001331,History: Renamed on 2018-11-08
WBGene00001337,,,,WBGene00001337,WBGene00001337,History: Renamed on 2010-01-29
WBGene00001338,,,,WBGene00001338,WBGene00001338,History: Renamed on 2010-01-29
WBGene00001340,,,,WBGene00001340,WBGene00001340,History: N.A.
WBGene00001345,,,,WBGene00001345,WBGene00001345,History: Renamed on 2005-09-27
WBGene00001368,,,,WBGene00001368,WBGene00001368,History: Renamed on 2004-11-09
WBGene00001377,,,,WBGene00001377,WBGene00001377,History: N.A.
WBGene00001394,,,,WBGene00001394,WBGene00001394,History: N.A.
WBGene00001395,,,,WBGene00001395,WBGene00001395,History: N.A.
WBGene00001430,,,,WBGene00001430,WBGene00001430,History: N.A.
WBGene00001435,,,,WBGene00001435,WBGene00001435,History: N.A.
WBGene00001436,,,,WBGene00001436,WBGene00001436,"History: Split into C29F7.10(WBGene00206389). History of WBGene00001436: Split into ""WBGene00206389"" on 2011-01-21"
WBGene00001439,,,,WBGene00001439,WBGene00001439,History: N.A.
WBGene00001441,,,,WBGene00001441,WBGene00001441,History: N.A.
WBGene00001443,,,,WBGene00001443,WBGene00001443,History: N.A.
WBGene00001480,,,,WBGene00001480,WBGene00001480,History: N.A.
WBGene00001483,,,,WBGene00001483,WBGene00001483,History: N.A.
WBGene00001484,,,,WBGene00001484,WBGene00001484,History: N.A.
WBGene00001488,,,,WBGene00001488,WBGene00001488,History: N.A.
