# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Late degraded (1572),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00002891,,,,WBGene00002891,WBGene00002891,History: N.A.
WBGene00003047,,,,WBGene00003047,WBGene00003047,History: N.A.
WBGene00003061,,,,WBGene00003061,WBGene00003061,History: Renamed on 2008-02-26
WBGene00003065,,,,WBGene00003065,WBGene00003065,History: N.A.
WBGene00003083,,,,WBGene00003083,WBGene00003083,History: N.A.
WBGene00003129,,,,WBGene00003129,WBGene00003129,History: N.A.
WBGene00003136,,,,WBGene00003136,WBGene00003136,History: N.A.
WBGene00003148,,,,WBGene00003148,WBGene00003148,History: N.A.
WBGene00003155,,,,WBGene00003155,WBGene00003155,History: N.A.
WBGene00003156,,,,WBGene00003156,WBGene00003156,History: Renamed on 2015-03-03; Renamed on 2015-03-03
WBGene00003158,,,,WBGene00003158,WBGene00003158,History: N.A.
WBGene00003164,,,,WBGene00003164,WBGene00003164,History: N.A.
WBGene00003177,,,,WBGene00003177,WBGene00003177,History: N.A.
WBGene00003183,,,,WBGene00003183,WBGene00003183,History: N.A.
WBGene00003185,,,,WBGene00003185,WBGene00003185,History: N.A.
WBGene00003209,,,,WBGene00003209,WBGene00003209,History: N.A.
WBGene00003214,,,,WBGene00003214,WBGene00003214,History: N.A.
WBGene00003219,,,,WBGene00003219,WBGene00003219,History: N.A.
WBGene00003220,,,,WBGene00003220,WBGene00003220,History: N.A.
WBGene00003222,,,,WBGene00003222,WBGene00003222,History: N.A.
WBGene00003225,,,,WBGene00003225,WBGene00003225,History: Renamed on 2006-07-19
WBGene00003229,,,,WBGene00003229,WBGene00003229,History: N.A.
WBGene00003231,,,,WBGene00003231,WBGene00003231,History: N.A.
WBGene00003241,,,,WBGene00003241,WBGene00003241,History: N.A.
WBGene00003373,,,,WBGene00003373,WBGene00003373,History: N.A.
WBGene00003401,,,,WBGene00003401,WBGene00003401,History: N.A.
WBGene00003406,,,,WBGene00003406,WBGene00003406,History: N.A.
WBGene00003417,,,,WBGene00003417,WBGene00003417,History: N.A.
WBGene00003418,,,,WBGene00003418,WBGene00003418,History: N.A.
WBGene00003478,,,,WBGene00003478,WBGene00003478,History: N.A.
WBGene00003504,,,,WBGene00003504,WBGene00003504,History: N.A.
WBGene00003508,,,,WBGene00003508,WBGene00003508,History: Renamed on 2013-10-16
WBGene00003582,,,,WBGene00003582,WBGene00003582,History: Renamed on 2005-12-19
WBGene00003605,,,,WBGene00003605,WBGene00003605,History: N.A.
WBGene00003661,,,,WBGene00003661,WBGene00003661,History: N.A.
WBGene00003728,,,,WBGene00003728,WBGene00003728,"History: Split into C28D4.18(WBGene00303043). History of WBGene00003728: Split into ""WBGene00303043"" on 2018-03-02"
WBGene00003777,,,,WBGene00003777,WBGene00003777,History: N.A.
WBGene00003785,,,,WBGene00003785,WBGene00003785,History: N.A.
WBGene00003793,,,,WBGene00003793,WBGene00003793,History: N.A.
WBGene00003794,,,,WBGene00003794,WBGene00003794,History: N.A.
WBGene00003796,,,,WBGene00003796,WBGene00003796,History: N.A.
WBGene00003800,,,,WBGene00003800,WBGene00003800,History: N.A.
WBGene00003801,,,,WBGene00003801,WBGene00003801,History: N.A.
WBGene00003802,,,,WBGene00003802,WBGene00003802,History: N.A.
WBGene00003803,,,,WBGene00003803,WBGene00003803,History: N.A.
WBGene00003804,,,,WBGene00003804,WBGene00003804,History: N.A.
WBGene00003805,,,,WBGene00003805,WBGene00003805,History: N.A.
WBGene00003830,,,,WBGene00003830,WBGene00003830,History: N.A.
WBGene00003836,,,,WBGene00003836,WBGene00003836,History: N.A.
WBGene00003864,,,,WBGene00003864,WBGene00003864,History: N.A.
WBGene00003870,,,,WBGene00003870,WBGene00003870,History: N.A.
WBGene00003912,,,,WBGene00003912,WBGene00003912,History: N.A.
WBGene00003914,,,,WBGene00003914,WBGene00003914,History: Renamed on 2006-10-19
WBGene00003917,,,,WBGene00003917,WBGene00003917,"History: Split into F58B6.11(WBGene00306125). History of WBGene00003917: Split into ""WBGene00306125"" on 2022-01-02"
WBGene00003919,,,,WBGene00003919,WBGene00003919,History: N.A.
WBGene00003923,,,,WBGene00003923,WBGene00003923,History: N.A.
WBGene00003926,,,,WBGene00003926,WBGene00003926,History: Renamed on 2009-01-09
WBGene00003947,,,,WBGene00003947,WBGene00003947,History: N.A.
WBGene00003948,,,,WBGene00003948,WBGene00003948,History: N.A.
WBGene00003949,,,,WBGene00003949,WBGene00003949,History: N.A.
WBGene00003950,,,,WBGene00003950,WBGene00003950,History: N.A.
WBGene00003951,,,,WBGene00003951,WBGene00003951,History: N.A.
WBGene00003952,,,,WBGene00003952,WBGene00003952,History: N.A.
WBGene00003953,,,,WBGene00003953,WBGene00003953,History: N.A.
WBGene00003961,,,,WBGene00003961,WBGene00003961,History: N.A.
WBGene00003967,,,,WBGene00003967,WBGene00003967,History: N.A.
WBGene00003975,,,,WBGene00003975,WBGene00003975,History: N.A.
