# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE = 0 ± 0.1,Unnamed: 1,Input,Suggested Match,History
WBGene00022447,,WBGene00022447,WBGene00022447,History: Renamed on 2018-12-11
WBGene00008379,,WBGene00008379,WBGene00008379,History: N.A.
WBGene00010883,,WBGene00010883,WBGene00010883,History: N.A.
WBGene00017165,,WBGene00017165,WBGene00017165,History: N.A.
WBGene00013526,,WBGene00013526,WBGene00013526,History: N.A.
WBGene00010565,,WBGene00010565,WBGene00010565,History: N.A.
WBGene00007499,,WBGene00007499,WBGene00007499,History: N.A.
WBGene00012647,,WBGene00012647,WBGene00012647,History: N.A.
WBGene00017851,,WBGene00017851,WBGene00017851,History: N.A.
WBGene00001246,,WBGene00001246,WBGene00001246,"History: Split into Y47D3A.34(WBGene00206461). History of WBGene00001246: Split into ""WBGene00206461"" on 2011-03-28"
WBGene00012925,,WBGene00012925,WBGene00012925,History: N.A.
WBGene00015162,,WBGene00015162,WBGene00015162,History: N.A.
WBGene00044447,,WBGene00044447,WBGene00044447,History: N.A.
WBGene00021763,,WBGene00021763,WBGene00021763,History: N.A.
WBGene00021552,,WBGene00021552,WBGene00021552,History: N.A.
WBGene00019561,,WBGene00019561,WBGene00019561,History: N.A.
WBGene00014228,,WBGene00014228,WBGene00014228,History: N.A.
WBGene00016946,,WBGene00016946,WBGene00016946,History: N.A.
WBGene00016353,,WBGene00016353,WBGene00016353,History: N.A.
WBGene00012998,,WBGene00012998,WBGene00012998,History: N.A.
WBGene00022620,,WBGene00022620,WBGene00022620,History: N.A.
WBGene00017078,,WBGene00017078,WBGene00017078,History: N.A.
