# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Upregulated Genes in WT
Generation,Gene name,Input,Suggested Match,History
P0-F1,WBGene00000474,WBGene00000474,WBGene00000474,History: N.A.
P0-F1,WBGene00012897,WBGene00012897,WBGene00012897,History: N.A.
P0-F1,WBGene00017349,WBGene00017349,WBGene00017349,History: N.A.
P0-F1,WBGene00012360,WBGene00012360,WBGene00012360,History: N.A.
P0-F1,WBGene00004462,WBGene00004462,WBGene00004462,History: N.A.
P0-F1,WBGene00011105,WBGene00011105,WBGene00011105,History: N.A.
P0-F1,WBGene00016002,WBGene00016002,WBGene00016002,History: N.A.
P0-F1,WBGene00000186,WBGene00000186,WBGene00000186,History: N.A.
P0-F1,WBGene00020107,WBGene00020107,WBGene00020107,History: N.A.
P0-F1,WBGene00001793,WBGene00001793,WBGene00001793,History: N.A.
P0-F1,WBGene00001863,WBGene00001863,WBGene00001863,History: N.A.
P0-F1,WBGene00020128,WBGene00020128,WBGene00020128,History: N.A.
P0-F1,WBGene00010659,WBGene00010659,WBGene00010659,History: N.A.
P0-F1,WBGene00017719,WBGene00017719,WBGene00017719,History: N.A.
P0-F1,WBGene00010064,WBGene00010064,WBGene00010064,History: N.A.
P0-F1,WBGene00016796,WBGene00016796,WBGene00016796,History: N.A.
P0-F1,WBGene00013214,WBGene00013214,WBGene00013214,History: N.A.
P0-F1,WBGene00021603,WBGene00021603,WBGene00021603,History: N.A.
P0-F1,WBGene00012983,WBGene00012983,WBGene00012983,History: N.A.
P0-F1,WBGene00013246,WBGene00013246,WBGene00013246,History: N.A.
P0-F1,WBGene00017567,WBGene00017567,WBGene00017567,History: N.A.
P0-F1,WBGene00018975,WBGene00018975,WBGene00018975,History: N.A.
P0-F1,WBGene00019778,WBGene00019778,WBGene00019778,History: N.A.
P0-F1,WBGene00017905,WBGene00017905,WBGene00017905,History: N.A.
P0-F1,WBGene00016409,WBGene00016409,WBGene00016409,History: N.A.
P0-F1,WBGene00044258,WBGene00044258,WBGene00044258,History: N.A.
P0-F1,WBGene00006528,WBGene00006528,WBGene00006528,History: N.A.
P0-F1,WBGene00003253,WBGene00003253,WBGene00003253,History: N.A.
