# Supplementary Data 1: Gene lists generated and used in this study and associated TPM values.,,,
# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
zygotic (704),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00007531,,,,WBGene00007531,WBGene00007531,History: N.A.
WBGene00007549,,,,WBGene00007549,WBGene00007549,History: N.A.
WBGene00007552,,,,WBGene00007552,WBGene00007552,History: N.A.
WBGene00007591,,,,WBGene00007591,WBGene00007591,History: N.A.
WBGene00007593,,,,WBGene00007593,WBGene00007593,History: N.A.
WBGene00007650,,,,WBGene00007650,WBGene00007650,History: N.A.
WBGene00007652,,,,WBGene00007652,WBGene00007652,History: N.A.
WBGene00007679,,,,WBGene00007679,WBGene00007679,History: N.A.
WBGene00007694,,,,WBGene00007694,WBGene00007694,History: N.A.
WBGene00007813,,,,WBGene00007813,WBGene00007813,History: N.A.
WBGene00007838,,,,WBGene00007838,WBGene00007838,"History: Split into fbxa-169(WBGene00045289). History of WBGene00007838: Split into ""WBGene00045289"" on 2007-02-26"
WBGene00007856,,,,WBGene00007856,WBGene00007856,History: N.A.
WBGene00007903,,,,WBGene00007903,WBGene00007903,History: N.A.
WBGene00007939,,,,WBGene00007939,WBGene00007939,History: N.A.
WBGene00007982,,,,WBGene00007982,WBGene00007982,History: N.A.
WBGene00008016,,,,WBGene00008016,WBGene00008016,History: N.A.
WBGene00008019,,,,WBGene00008019,WBGene00008019,History: N.A.
WBGene00008066,,,,WBGene00008066,WBGene00008066,History: N.A.
WBGene00008070,,,,WBGene00008070,WBGene00008070,History: N.A.
WBGene00008086,,,,WBGene00008086,WBGene00008086,History: N.A.
WBGene00008177,,,,WBGene00008177,WBGene00008177,History: N.A.
WBGene00008205,,,,WBGene00008205,WBGene00008205,History: Renamed on 2016-06-14
WBGene00008221,,,,WBGene00008221,WBGene00008221,History: N.A.
WBGene00008273,,,,WBGene00008273,WBGene00008273,History: N.A.
WBGene00008354,,,,WBGene00008354,WBGene00008354,History: N.A.
WBGene00008401,,,,WBGene00008401,WBGene00008401,History: N.A.
WBGene00008436,,,,WBGene00008436,WBGene00008436,History: N.A.
WBGene00008510,,,,WBGene00008510,WBGene00008510,History: N.A.
WBGene00008519,,,,WBGene00008519,WBGene00008519,"History: Split into C29F7.8(WBGene00044405). History of WBGene00008519: Split into ""WBGene00044405"" on 2005-05-27"
WBGene00008611,,,,WBGene00008611,WBGene00008611,History: N.A.
WBGene00008612,,,,WBGene00008612,WBGene00008612,History: N.A.
WBGene00008613,,,,WBGene00008613,WBGene00008613,History: N.A.
WBGene00008695,,,,WBGene00008695,WBGene00008695,History: N.A.
WBGene00008706,,,,WBGene00008706,WBGene00008706,History: N.A.
WBGene00008742,,,,WBGene00008742,WBGene00008742,History: N.A.
WBGene00008748,,,,WBGene00008748,WBGene00008748,History: N.A.
