# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Heritable Downregulated Genes Only in WT but Not in hrde-1 Mutant
Regulation Direction,Gene name,Input,Suggested Match,History
Transgenerational downregulated,WBGene00008591,WBGene00008591,WBGene00008591,History: N.A.
Transgenerational downregulated,WBGene00001069,WBGene00001069,WBGene00001069,History: N.A.
Transgenerational downregulated,WBGene00017133,WBGene00017133,WBGene00017133,History: N.A.
Transgenerational downregulated,WBGene00006956,WBGene00006956,WBGene00006956,History: N.A.
Transgenerational downregulated,WBGene00000858,WBGene00000858,WBGene00000858,History: N.A.
Transgenerational downregulated,WBGene00012186,WBGene00012186,WBGene00012186,History: Renamed on 2005-03-17
Transgenerational downregulated,WBGene00001945,WBGene00001945,WBGene00001945,History: N.A.
Transgenerational downregulated,WBGene00001948,WBGene00001948,WBGene00001948,History: N.A.
Transgenerational downregulated,WBGene00022837,WBGene00022837,WBGene00022837,History: N.A.
Transgenerational downregulated,WBGene00000674,WBGene00000674,WBGene00000674,History: N.A.
Transgenerational downregulated,WBGene00006063,WBGene00006063,WBGene00006063,History: N.A.
Transgenerational downregulated,WBGene00020160,WBGene00020160,WBGene00020160,History: N.A.
Transgenerational downregulated,WBGene00015779,WBGene00015779,WBGene00015779,History: N.A.
Transgenerational downregulated,WBGene00011175,WBGene00011175,WBGene00011175,History: N.A.
Transgenerational downregulated,WBGene00006870,WBGene00006870,WBGene00006870,History: Renamed on 2013-10-08
Transgenerational downregulated,WBGene00020833,WBGene00020833,WBGene00020833,History: N.A.
Transgenerational downregulated,WBGene00219758,WBGene00219758,WBGene00219758,History: N.A.
Transgenerational downregulated,WBGene00015518,WBGene00015518,WBGene00015518,History: N.A.
Transgenerational downregulated,WBGene00000928,WBGene00000928,WBGene00000928,History: N.A.
Transgenerational downregulated,WBGene00001707,WBGene00001707,WBGene00001707,History: N.A.
Transgenerational downregulated,WBGene00016093,WBGene00016093,WBGene00016093,History: N.A.
Transgenerational downregulated,WBGene00019751,WBGene00019751,WBGene00019751,History: N.A.
Transgenerational downregulated,WBGene00010221,WBGene00010221,WBGene00010221,History: N.A.
Transgenerational downregulated,WBGene00010177,WBGene00010177,WBGene00010177,"History: Split into T06E8.8(WBGene00303063). History of WBGene00010177: Split into ""WBGene00303063"" on 2018-03-02"
Transgenerational downregulated,WBGene00010931,WBGene00010931,WBGene00010931,History: N.A.
Transgenerational downregulated,WBGene00018697,WBGene00018697,WBGene00018697,History: N.A.
Transgenerational downregulated,WBGene00018803,WBGene00018803,WBGene00018803,History: N.A.
Transgenerational downregulated,WBGene00001210,WBGene00001210,WBGene00001210,History: N.A.
Transgenerational downregulated,WBGene00000650,WBGene00000650,WBGene00000650,History: N.A.
Transgenerational downregulated,WBGene00017901,WBGene00017901,WBGene00017901,History: N.A.
Transgenerational downregulated,WBGene00004233,WBGene00004233,WBGene00004233,History: N.A.
Transgenerational downregulated,WBGene00022816,WBGene00022816,WBGene00022816,History: Renamed on 2019-05-20
Transgenerational downregulated,WBGene00011326,WBGene00011326,WBGene00011326,"History: Split into ""WBGene00045409"" on 2007-05-02"
Transgenerational downregulated,WBGene00008320,WBGene00008320,WBGene00008320,History: N.A.
Transgenerational downregulated,WBGene00011522,WBGene00011522,WBGene00011522,History: N.A.
Transgenerational downregulated,WBGene00012107,WBGene00012107,WBGene00012107,History: N.A.
Transgenerational downregulated,WBGene00001075,WBGene00001075,WBGene00001075,History: N.A.
Transgenerational downregulated,WBGene00013416,WBGene00013416,WBGene00013416,History: N.A.
Transgenerational downregulated,WBGene00014505,WBGene00014505,WBGene00014505,History: N.A.
Transgenerational downregulated,WBGene00011328,WBGene00011328,WBGene00011328,History: N.A.
Transgenerational downregulated,WBGene00011261,WBGene00011261,WBGene00011261,History: Renamed on 2011-01-18
Transgenerational downregulated,WBGene00006775,WBGene00006775,WBGene00006775,History: N.A.
Transgenerational downregulated,WBGene00006788,WBGene00006788,WBGene00006788,History: N.A.
Transgenerational downregulated,WBGene00044698,WBGene00044698,WBGene00044698,History: N.A.
Transgenerational downregulated,WBGene00006980,WBGene00006980,WBGene00006980,History: N.A.
Transgenerational downregulated,WBGene00020854,WBGene00020854,WBGene00020854,History: N.A.
Transgenerational downregulated,WBGene00019488,WBGene00019488,WBGene00019488,History: N.A.
Transgenerational downregulated,WBGene00011798,WBGene00011798,WBGene00011798,History: N.A.
Transgenerational downregulated,WBGene00001570,WBGene00001570,WBGene00001570,History: N.A.
Transgenerational downregulated,WBGene00044066,WBGene00044066,WBGene00044066,History: Renamed on 2005-12-13
Transgenerational downregulated,WBGene00008519,WBGene00008519,WBGene00008519,"History: Split into C29F7.8(WBGene00044405). History of WBGene00008519: Split into ""WBGene00044405"" on 2005-05-27"
Transgenerational downregulated,WBGene00001432,WBGene00001432,WBGene00001432,History: N.A.
Transgenerational downregulated,WBGene00009805,WBGene00009805,WBGene00009805,History: N.A.
Transgenerational downregulated,WBGene00011508,WBGene00011508,WBGene00011508,History: N.A.
Transgenerational downregulated,WBGene00015865,WBGene00015865,WBGene00015865,History: N.A.
Transgenerational downregulated,WBGene00018547,WBGene00018547,WBGene00018547,History: N.A.
Transgenerational downregulated,WBGene00013100,WBGene00013100,WBGene00013100,History: N.A.
