# Note: In the following rows commas have been replaced with semicolons to work better with r
# In order to determine H3K9me2 marked genes; we employed published H3K9me2 ChIP-seq dataset SRX495107 (Gerstein et al.; 2010)
# and performed peak calling analysis using MACS (Lupien et al.; 2008). We then defined H3K9me2 marked genes as genes for which
# a significant H3K9me2 peak (FDR Qvalue < 0.1) overlaps the 1;000 bp centered around their TSS.
WBGene Name,Input,Suggested Match,History
WBGene00000695,WBGene00000695,WBGene00000695,History: Renamed on 2006-06-15
WBGene00000696,WBGene00000696,WBGene00000696,History: N.A.
WBGene00000697,WBGene00000697,WBGene00000697,History: N.A.
WBGene00000698,WBGene00000698,WBGene00000698,History: N.A.
WBGene00000699,WBGene00000699,WBGene00000699,History: N.A.
WBGene00000700,WBGene00000700,WBGene00000700,History: N.A.
WBGene00000701,WBGene00000701,WBGene00000701,History: N.A.
WBGene00000703,WBGene00000703,WBGene00000703,History: N.A.
WBGene00000704,WBGene00000704,WBGene00000704,History: N.A.
WBGene00000705,WBGene00000705,WBGene00000705,History: N.A.
WBGene00000706,WBGene00000706,WBGene00000706,History: N.A.
WBGene00000707,WBGene00000707,WBGene00000707,History: N.A.
WBGene00000708,WBGene00000708,WBGene00000708,History: N.A.
WBGene00000710,WBGene00000710,WBGene00000710,History: N.A.
WBGene00000711,WBGene00000711,WBGene00000711,History: N.A.
WBGene00000712,WBGene00000712,WBGene00000712,History: N.A.
WBGene00000713,WBGene00000713,WBGene00000713,History: N.A.
WBGene00000714,WBGene00000714,WBGene00000714,History: N.A.
WBGene00000715,WBGene00000715,WBGene00000715,History: N.A.
WBGene00000716,WBGene00000716,WBGene00000716,History: N.A.
WBGene00000717,WBGene00000717,WBGene00000717,History: N.A.
WBGene00000718,WBGene00000718,WBGene00000718,History: N.A.
WBGene00000719,WBGene00000719,WBGene00000719,History: N.A.
WBGene00000720,WBGene00000720,WBGene00000720,History: N.A.
WBGene00000722,WBGene00000722,WBGene00000722,History: N.A.
WBGene00000723,WBGene00000723,WBGene00000723,History: N.A.
WBGene00000725,WBGene00000725,WBGene00000725,History: N.A.
WBGene00000727,WBGene00000727,WBGene00000727,History: N.A.
WBGene00000728,WBGene00000728,WBGene00000728,History: N.A.
WBGene00000729,WBGene00000729,WBGene00000729,History: N.A.
WBGene00000730,WBGene00000730,WBGene00000730,History: N.A.
WBGene00000731,WBGene00000731,WBGene00000731,History: N.A.
WBGene00000732,WBGene00000732,WBGene00000732,History: N.A.
WBGene00000733,WBGene00000733,WBGene00000733,History: N.A.
WBGene00000734,WBGene00000734,WBGene00000734,History: N.A.
WBGene00000735,WBGene00000735,WBGene00000735,History: N.A.
WBGene00000736,WBGene00000736,WBGene00000736,History: N.A.
WBGene00000737,WBGene00000737,WBGene00000737,History: N.A.
WBGene00000738,WBGene00000738,WBGene00000738,History: N.A.
WBGene00000739,WBGene00000739,WBGene00000739,History: N.A.
WBGene00000740,WBGene00000740,WBGene00000740,History: N.A.
WBGene00000741,WBGene00000741,WBGene00000741,History: N.A.
WBGene00000742,WBGene00000742,WBGene00000742,History: N.A.
WBGene00000743,WBGene00000743,WBGene00000743,History: N.A.
WBGene00000744,WBGene00000744,WBGene00000744,History: N.A.
WBGene00000745,WBGene00000745,WBGene00000745,History: N.A.
WBGene00000747,WBGene00000747,WBGene00000747,History: N.A.
WBGene00000748,WBGene00000748,WBGene00000748,History: N.A.
WBGene00000749,WBGene00000749,WBGene00000749,History: N.A.
WBGene00000751,WBGene00000751,WBGene00000751,History: N.A.
WBGene00000752,WBGene00000752,WBGene00000752,History: N.A.
WBGene00000753,WBGene00000753,WBGene00000753,History: N.A.
WBGene00000754,WBGene00000754,WBGene00000754,History: N.A.
WBGene00000755,WBGene00000755,WBGene00000755,History: N.A.
WBGene00000756,WBGene00000756,WBGene00000756,History: N.A.
WBGene00000757,WBGene00000757,WBGene00000757,History: N.A.
WBGene00000758,WBGene00000758,WBGene00000758,History: N.A.
WBGene00000759,WBGene00000759,WBGene00000759,History: N.A.
WBGene00000760,WBGene00000760,WBGene00000760,History: N.A.
WBGene00000764,WBGene00000764,WBGene00000764,History: N.A.
WBGene00000779,WBGene00000779,WBGene00000779,History: N.A.
WBGene00000780,WBGene00000780,WBGene00000780,History: N.A.
WBGene00000781,WBGene00000781,WBGene00000781,History: N.A.
WBGene00000782,WBGene00000782,WBGene00000782,History: N.A.
WBGene00000783,WBGene00000783,WBGene00000783,History: N.A.
WBGene00000784,WBGene00000784,WBGene00000784,History: N.A.
WBGene00000785,WBGene00000785,WBGene00000785,History: N.A.
WBGene00000788,WBGene00000788,WBGene00000788,History: N.A.
WBGene00000793,WBGene00000793,WBGene00000793,History: N.A.
WBGene00000794,WBGene00000794,WBGene00000794,History: N.A.
WBGene00000802,WBGene00000802,WBGene00000802,History: N.A.
WBGene00000818,WBGene00000818,WBGene00000818,History: N.A.
WBGene00000820,WBGene00000820,WBGene00000820,History: N.A.
WBGene00000822,WBGene00000822,WBGene00000822,History: N.A.
WBGene00000830,WBGene00000830,WBGene00000830,History: N.A.
WBGene00000831,WBGene00000831,WBGene00000831,History: N.A.
WBGene00000833,WBGene00000833,WBGene00000833,History: N.A.
WBGene00000838,WBGene00000838,WBGene00000838,History: N.A.
WBGene00000851,WBGene00000851,WBGene00000851,History: N.A.
WBGene00000859,WBGene00000859,WBGene00000859,History: N.A.
WBGene00000862,WBGene00000862,WBGene00000862,History: N.A.
WBGene00000864,WBGene00000864,WBGene00000864,History: N.A.
WBGene00000867,WBGene00000867,WBGene00000867,History: N.A.
WBGene00000869,WBGene00000869,WBGene00000869,History: N.A.
WBGene00000870,WBGene00000870,WBGene00000870,History: N.A.
WBGene00000874,WBGene00000874,WBGene00000874,History: N.A.
WBGene00000878,WBGene00000878,WBGene00000878,History: N.A.
WBGene00000884,WBGene00000884,WBGene00000884,History: N.A.
WBGene00000889,WBGene00000889,WBGene00000889,History: N.A.
WBGene00000893,WBGene00000893,WBGene00000893,"History: Split into ZC250.5(WBGene00045306). History of WBGene00000893: Split into ""WBGene00045306"" on 2007-03-02"
WBGene00000895,WBGene00000895,WBGene00000895,History: N.A.
