# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Stable (1020),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00001869,,,,WBGene00001869,WBGene00001869,History: N.A.
WBGene00001909,,,,WBGene00001909,WBGene00001909,History: N.A.
WBGene00001919,,,,WBGene00001919,WBGene00001919,History: N.A.
WBGene00001920,,,,WBGene00001920,WBGene00001920,History: N.A.
WBGene00001921,,,,WBGene00001921,WBGene00001921,History: N.A.
WBGene00001922,,,,WBGene00001922,WBGene00001922,History: N.A.
WBGene00001929,,,,WBGene00001929,WBGene00001929,History: N.A.
WBGene00001931,,,,WBGene00001931,WBGene00001931,History: N.A.
WBGene00001932,,,,WBGene00001932,WBGene00001932,History: N.A.
WBGene00001933,,,,WBGene00001933,WBGene00001933,History: N.A.
WBGene00001935,,,,WBGene00001935,WBGene00001935,History: N.A.
WBGene00001936,,,,WBGene00001936,WBGene00001936,History: N.A.
WBGene00001937,,,,WBGene00001937,WBGene00001937,History: N.A.
WBGene00001938,,,,WBGene00001938,WBGene00001938,History: N.A.
WBGene00001939,,,,WBGene00001939,WBGene00001939,History: N.A.
WBGene00001940,,,,WBGene00001940,WBGene00001940,History: N.A.
WBGene00001941,,,,WBGene00001941,WBGene00001941,History: N.A.
WBGene00001942,,,,WBGene00001942,WBGene00001942,History: N.A.
WBGene00001947,,,,WBGene00001947,WBGene00001947,History: N.A.
WBGene00001995,,,,WBGene00001995,WBGene00001995,History: N.A.
WBGene00001996,,,,WBGene00001996,WBGene00001996,History: N.A.
WBGene00002031,,,,WBGene00002031,WBGene00002031,History: N.A.
WBGene00002071,,,,WBGene00002071,WBGene00002071,History: N.A.
WBGene00002132,,,,WBGene00002132,WBGene00002132,History: N.A.
WBGene00002152,,,,WBGene00002152,WBGene00002152,History: Renamed on 2010-01-29
WBGene00002202,,,,WBGene00002202,WBGene00002202,History: N.A.
WBGene00002207,,,,WBGene00002207,WBGene00002207,History: Renamed on 2012-11-07
WBGene00002210,,,,WBGene00002210,WBGene00002210,History: N.A.
WBGene00002223,,,,WBGene00002223,WBGene00002223,"History: Split into T01G1.4(WBGene00044025). History of WBGene00002223: Split into ""WBGene00044025"" on 2004-12-14"
