gene,Input,Suggested Match,History
WBGene00011844,WBGene00011844,WBGene00011844,History: N.A.
WBGene00020117,WBGene00020117,WBGene00020117,History: N.A.
WBGene00022688,WBGene00022688,WBGene00022688,"History: Split into ZK250.13(WBGene00235352). History of WBGene00022688: Split into ""WBGene00235352"" on 2013-09-27"
WBGene00005495,WBGene00005495,WBGene00005495,History: N.A.
WBGene00005397,WBGene00005397,WBGene00005397,History: N.A.
WBGene00045501,WBGene00045501,WBGene00045501,History: N.A.
WBGene00012838,WBGene00012838,WBGene00012838,History: N.A.
WBGene00045362,WBGene00045362,WBGene00045362,History: N.A.
WBGene00011208,WBGene00011208,WBGene00011208,History: N.A.
WBGene00021578,WBGene00021578,WBGene00021578,History: N.A.
WBGene00005335,WBGene00005335,WBGene00005335,History: N.A.
WBGene00012571,WBGene00012571,WBGene00012571,"History: Split into Y37H2A.13(WBGene00045417), Y37H2A.14(WBGene00045416). History of WBGene00012571: Split into ""WBGene00045416"" on 2007-05-15; Split into ""WBGene00045417"" on 2007-05-15"
WBGene00011841,WBGene00011841,WBGene00011841,History: N.A.
WBGene00012454,WBGene00012454,WBGene00012454,"History: Split into clec-257(WBGene00044892). History of WBGene00012454: Split into ""WBGene00044892"" on 2006-05-19"
WBGene00009905,WBGene00009905,WBGene00009905,History: N.A.
WBGene00011609,WBGene00011609,WBGene00011609,History: N.A.
WBGene00008015,WBGene00008015,WBGene00008015,History: N.A.
WBGene00006249,WBGene00006249,WBGene00006249,History: N.A.
WBGene00012815,WBGene00012815,WBGene00012815,"History: Split into Y43F8B.19(WBGene00077688). History of WBGene00012815: Split into ""WBGene00077688"" on 2008-04-03"
WBGene00011840,WBGene00011840,WBGene00011840,History: N.A.
WBGene00003663,WBGene00003663,WBGene00003663,History: N.A.
WBGene00010932,WBGene00010932,WBGene00010932,History: N.A.
WBGene00022208,WBGene00022208,,History: Killed on 2008-09-01; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00013830,WBGene00013830,WBGene00013830,History: N.A.
WBGene00077688,WBGene00077688,WBGene00077688,History: N.A.
WBGene00005316,WBGene00005316,WBGene00005316,History: N.A.
WBGene00006176,WBGene00006176,WBGene00006176,History: N.A.
WBGene00005332,WBGene00005332,WBGene00005332,History: N.A.
WBGene00044207,WBGene00044207,WBGene00044207,"History: Split into Y6G8.14(WBGene00138715). History of WBGene00044207: Split into ""WBGene00138715"" on 2008-09-12"
WBGene00008068,WBGene00008068,WBGene00008068,History: N.A.
WBGene00009567,WBGene00009567,WBGene00009567,History: N.A.
WBGene00044429,WBGene00044429,WBGene00044429,History: N.A.
WBGene00009566,WBGene00009566,WBGene00009566,History: N.A.
WBGene00005946,WBGene00005946,WBGene00005946,History: N.A.
WBGene00013471,WBGene00013471,WBGene00013471,History: N.A.
WBGene00050893,WBGene00050893,WBGene00050893,History: N.A.
WBGene00010206,WBGene00010206,WBGene00010206,"History: Split into F57G4.11(WBGene00195165). History of WBGene00010206: Split into ""WBGene00195165"" on 2010-06-03"
WBGene00011487,WBGene00011487,WBGene00011487,History: N.A.
WBGene00019133,WBGene00019133,WBGene00019133,History: N.A.
WBGene00011611,WBGene00011611,WBGene00011611,History: N.A.
WBGene00005492,WBGene00005492,WBGene00005492,History: N.A.
WBGene00050906,WBGene00050906,WBGene00050906,History: N.A.
WBGene00009854,WBGene00009854,WBGene00009854,History: N.A.
WBGene00009297,WBGene00009297,WBGene00009297,History: N.A.
WBGene00044416,WBGene00044416,WBGene00044416,History: N.A.
WBGene00015831,WBGene00015831,,History: Killed on 2010-02-23. Remark: removed due to lack of evidence and overlapped gene on opposite strand
WBGene00022342,WBGene00022342,WBGene00022342,History: N.A.
WBGene00013481,WBGene00013481,WBGene00013481,History: N.A.
WBGene00005389,WBGene00005389,WBGene00005389,History: N.A.
WBGene00005387,WBGene00005387,WBGene00005387,History: N.A.
WBGene00013468,WBGene00013468,WBGene00013468,History: N.A.
WBGene00012574,WBGene00012574,WBGene00012574,History: N.A.
WBGene00013487,WBGene00013487,WBGene00013487,History: Renamed on 2012-02-24
WBGene00012682,WBGene00012682,WBGene00012682,History: N.A.
WBGene00005540,WBGene00005540,WBGene00005540,History: N.A.
WBGene00013062,WBGene00013062,WBGene00013062,History: N.A.
WBGene00009860,WBGene00009860,WBGene00009860,History: N.A.
WBGene00009857,WBGene00009857,WBGene00009857,History: N.A.
WBGene00012406,WBGene00012406,WBGene00012406,History: N.A.
WBGene00005521,WBGene00005521,WBGene00005521,History: N.A.
WBGene00021255,WBGene00021255,,History: Killed on 2009-04-20. Remark: Removed based on EST data and overlap with a repeat.
WBGene00013472,WBGene00013472,WBGene00013472,History: N.A.
WBGene00018432,WBGene00018432,WBGene00018432,History: N.A.
WBGene00050956,WBGene00050956,WBGene00050956,History: N.A.
WBGene00005541,WBGene00005541,WBGene00005541,History: N.A.
WBGene00020118,WBGene00020118,WBGene00020118,History: N.A.
WBGene00017223,WBGene00017223,WBGene00017223,History: N.A.
WBGene00022292,WBGene00022292,WBGene00022292,History: N.A.
WBGene00013629,WBGene00013629,WBGene00013629,History: N.A.
WBGene00013608,WBGene00013608,WBGene00013608,History: N.A.
WBGene00022431,WBGene00022431,WBGene00022431,History: N.A.
WBGene00012808,WBGene00012808,WBGene00012808,History: N.A.
WBGene00016486,WBGene00016486,WBGene00016486,History: N.A.
WBGene00007181,WBGene00007181,WBGene00007181,History: N.A.
WBGene00012067,WBGene00012067,WBGene00012067,History: N.A.
WBGene00008892,WBGene00008892,WBGene00008892,History: N.A.
WBGene00009751,WBGene00009751,WBGene00009751,"History: Split into Y53H1A.6(WBGene00044781). History of WBGene00009751: Split into ""WBGene00044781"" on 2006-03-15"
WBGene00077692,WBGene00077692,WBGene00077692,History: N.A.
WBGene00045459,WBGene00045459,WBGene00045459,History: N.A.
WBGene00008891,WBGene00008891,WBGene00008891,History: N.A.
WBGene00007851,WBGene00007851,WBGene00007851,History: N.A.
WBGene00005767,WBGene00005767,WBGene00005767,History: N.A.
WBGene00007724,WBGene00007724,WBGene00007724,History: N.A.
WBGene00019419,WBGene00019419,WBGene00019419,History: N.A.
WBGene00005500,WBGene00005500,WBGene00005500,History: N.A.
WBGene00020361,WBGene00020361,WBGene00020361,History: N.A.
WBGene00006551,WBGene00006551,WBGene00006551,History: N.A.
WBGene00005496,WBGene00005496,WBGene00005496,History: N.A.
WBGene00020828,WBGene00020828,,History: Killed on 2022-01-03. Remark: [211211 skd] Retired as this seems to be a simple repeat.
WBGene00044215,WBGene00044215,WBGene00044215,History: N.A.
WBGene00021700,WBGene00021700,WBGene00021700,History: N.A.
WBGene00013613,WBGene00013613,WBGene00013613,History: N.A.
WBGene00009914,WBGene00009914,WBGene00009914,History: N.A.
WBGene00009913,WBGene00009913,WBGene00009913,History: N.A.
WBGene00021886,WBGene00021886,WBGene00021886,History: N.A.
WBGene00010928,WBGene00010928,WBGene00010928,History: N.A.
WBGene00021703,WBGene00021703,WBGene00021703,History: N.A.
WBGene00005177,WBGene00005177,WBGene00005177,History: N.A.
WBGene00015243,WBGene00015243,WBGene00015243,History: N.A.
WBGene00019146,WBGene00019146,WBGene00019146,History: N.A.
WBGene00077624,WBGene00077624,WBGene00077624,History: N.A.
WBGene00000214,WBGene00000214,WBGene00000214,History: N.A.
WBGene00005488,WBGene00005488,WBGene00005488,History: N.A.
WBGene00015241,WBGene00015241,WBGene00015241,History: N.A.
WBGene00009840,WBGene00009840,WBGene00009840,History: N.A.
WBGene00013609,WBGene00013609,WBGene00013609,History: N.A.
WBGene00005293,WBGene00005293,WBGene00005293,History: N.A.
WBGene00008016,WBGene00008016,WBGene00008016,History: N.A.
WBGene00044332,WBGene00044332,WBGene00044332,History: N.A.
WBGene00009855,WBGene00009855,WBGene00009855,History: N.A.
WBGene00012250,WBGene00012250,WBGene00012250,History: N.A.
WBGene00022340,WBGene00022340,WBGene00022340,History: N.A.
WBGene00015604,WBGene00015604,WBGene00015604,History: N.A.
WBGene00010933,WBGene00010933,WBGene00010933,History: N.A.
WBGene00020740,WBGene00020740,WBGene00020740,History: N.A.
WBGene00005338,WBGene00005338,WBGene00005338,History: N.A.
WBGene00010927,WBGene00010927,WBGene00010927,History: N.A.
WBGene00020364,WBGene00020364,WBGene00020364,History: N.A.
WBGene00005493,WBGene00005493,WBGene00005493,History: N.A.
WBGene00016885,WBGene00016885,WBGene00016885,History: N.A.
WBGene00010929,WBGene00010929,WBGene00010929,History: N.A.
WBGene00019593,WBGene00019593,WBGene00019593,History: N.A.
WBGene00021261,WBGene00021261,WBGene00021261,History: N.A.
WBGene00020359,WBGene00020359,WBGene00020359,History: N.A.
WBGene00009859,WBGene00009859,WBGene00009859,History: N.A.
WBGene00011211,WBGene00011211,WBGene00011211,History: N.A.
WBGene00022689,WBGene00022689,WBGene00022689,"History: Split into ZK250.14(WBGene00235354), ZK250.15(WBGene00235355). History of WBGene00022689: Split into ""WBGene00235354"" on 2013-09-27; Split into ""WBGene00235355"" on 2013-09-27"
